Kreis;Beschaeftigte;Beschaeftigte-Baugewerbe;Anteil-Baugewerbe;Anteil-Hochschulabschluss;Einkommen-Median;Universitaeten-Mittel;Patente
1001;37850;1029;0.0271862616;0.098678996;2573;26531;6.125
1002;104704;3214;0.0306960575;0.1608343521;2844;149464;31.4706
1003;84345;4013;0.0475783982;0.1103088506;2536;41370;26.4179
1004;32436;1836;0.0566037736;0.080836108;2453;0;5.22619
1051;35354;3272;0.0925496408;0.0692142332;2494;5256;9
1053;40647;2909;0.0715673973;0.0854921642;2377;0;29.9167
1054;51732;4533;0.087624681;0.0632683832;2347;0;5.20833
1055;51093;3222;0.0630614761;0.0684438181;2235;0;14.4952
1056;79429;5387;0.0678215765;0.1104634328;2610;8800;45.3028
1057;23546;2536;0.1077040686;0.0764885756;2346;0;16.3262
1058;67255;6162;0.0916214408;0.0939855773;2477;7192;41.9167
1059;46020;4351;0.0945458496;0.0633202955;2325;0;3.95952
1060;75940;5100;0.0671582829;0.0967210956;2588;0;38.8369
1061;33999;2702;0.0794729257;0.083737757;2563;0;11.9595
1062;71378;4621;0.0647398358;0.0985317605;2571;0;47.4123
2000;821160;28159;0.0342917336;0.1907460178;3095;1080020;328.369
3101;110323;4013;0.0363750079;0.1762098565;2901;168623;51.5032
3102;44342;1351;0.0304677281;0.0933652068;3351;0;4.325
3103;98629;1592;0.0161412972;0.1783552505;3764;0;13.5222
3151;33919;2678;0.0789527993;0.1281877414;2532;0;19.5504
3152;90407;4399;0.0486577367;0.1565807957;2613;523174;48.8444
3153;41281;2185;0.0529299193;0.0948862673;2455;46693;16.6167
3154;18971;1260;0.066417163;0.0837594223;2221;0;4.01389
3155;39091;2513;0.064285897;0.0834974802;2514;0;8.53333
3156;25033;1497;0.0598010626;0.0629968442;2561;0;11.2694
3157;28198;2017;0.0715298957;0.0815660685;2558;0;10.5194
3158;21099;1930;0.0914735296;0.0979667283;2428;39982;12.6806
3241;431772;17958;0.0415913955;0.1506836942;2886;783705;233.097
3251;57068;4379;0.0767330203;0.0747704493;2380;729;30.1983
3252;46581;2541;0.0545501385;0.0950387497;2665;1895;17.5778
3254;81503;4933;0.0605253794;0.1094070157;2600;33051;54.0706
3255;19680;1318;0.0669715447;0.081300813;2654;8019.5;14.1611
3256;32709;2770;0.084686172;0.0675655018;2419;0;15.7417
3257;37912;2319;0.0611679679;0.0819265668;2465;0;11.4567
3351;49131;3272;0.0665974639;0.1039669455;2662;0;17.1389
3352;40321;4197;0.1040896803;0.0701123484;2361;0;12.4762
3353;48092;4662;0.0969391999;0.0831531232;2365;0;43.8361
3354;12071;852;0.0705823875;0.0705823875;2195;0;0.25
3355;48892;2691;0.0550396793;0.1133109711;2433;26019;15.6262
3356;21610;1845;0.0853771402;0.0795927811;2318;0;12.1583
3357;46566;4582;0.0983979728;0.0756990079;2416;0;14.1786
3358;41588;3151;0.0757670482;0.0643935751;2479;0;13.5095
3359;53061;4413;0.0831684288;0.1039369782;2681;3642;47.551
3360;25683;1891;0.0736284702;0.0812989137;2287;0;1.95238
3361;40076;2972;0.0741590977;0.0926988721;2478;1979;24.8667
3401;17978;1053;0.0585715875;0.0789298031;2488;0;1.37619
3402;29610;1155;0.0390070922;0.0852077001;3202;12335.5;0.575
